generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.005,46.87019
0.059,269.12943
0.153,759.6072
0.38,1588.2816
0.421,1749.3346
0.888,4259.1777
1.694,6610.6987
1.585,7278.972
2.188,8118.986
2.716,9415.636
2.133,8170.04
3.223,14162.693
2.137,6394.35
1.475,6623.865
1.696,6209.2285
1.587,7124.0186
1.743,12077.238
0.812,3131.492
2.466,11605.448
1.671,7432.483
2.877,11656.421
1.727,9009.5625
2.321,8644.846
1.337,5239.6284
4.309,21009.008
4.645,12656.119
5.394,20533.229
3.51,10069.717
4.187,16847.566
4.293,16966.566
2.329,7492.6562
3.343,10676.49
2.834,9612.018
3.2,8707.279
3.099,9998.41
3.393,10799.793
2.038,5878.912
0.706,2710.0996
1.266,5199.002
1.156,4301.5913
0.905,3333.4512
0.738,2757.514
0.569,2099.787
0.472,1796.7239
0.471,1874.2118
0.506,1931.6445
0.415,1557.817
0.361,1389.872
0.376,1480.4318
0.351,1284.2343
0.218,778.65924
0.151,550.4628
0.064,163.25307
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
